 rt 	  est 	  resp 	  laten 	  good 	  SU 
 280	 1	 4	 210391	 1	 MAFD_30111993
 358	 1	 4	 212688	 1	 MAFD_30111993
 423	 1	 4	 213593	 1	 MAFD_30111993
 391	 1	 4	 215218	 1	 MAFD_30111993
 -99	 2	 -99	 216875	 1	 MAFD_30111993
 375	 1	 4	 263016	 1	 MAFD_30111993
 359	 1	 4	 264171	 1	 MAFD_30111993
 375	 1	 4	 265155	 1	 MAFD_30111993
 -99	 2	 -99	 266593	 1	 MAFD_30111993
 312	 1	 4	 267641	 1	 MAFD_30111993
 -99	 2	 -99	 269609	 1	 MAFD_30111993
 313	 1	 4	 270750	 1	 MAFD_30111993
 360	 1	 4	 272093	 1	 MAFD_30111993
 342	 1	 4	 273188	 1	 MAFD_30111993
 -99	 2	 -99	 274828	 1	 MAFD_30111993
 313	 1	 4	 276405	 1	 MAFD_30111993
 280	 1	 4	 278250	 1	 MAFD_30111993
 312	 1	 4	 279313	 1	 MAFD_30111993
 -99	 2	 -99	 281141	 1	 MAFD_30111993
 313	 1	 4	 282421	 1	 MAFD_30111993
 312	 2	 4	 284593	 1	 MAFD_30111993
 298	 1	 4	 286405	 1	 MAFD_30111993
 407	 1	 4	 288796	 1	 MAFD_30111993
 312	 1	 4	 289984	 1	 MAFD_30111993
 359	 1	 4	 291750	 1	 MAFD_30111993
 391	 1	 4	 293500	 1	 MAFD_30111993
 -99	 2	 -99	 294625	 1	 MAFD_30111993
 392	 1	 4	 296796	 1	 MAFD_30111993
 296	 1	 4	 298125	 1	 MAFD_30111993
 296	 1	 4	 299063	 1	 MAFD_30111993
 -99	 2	 -99	 300391	 1	 MAFD_30111993
 280	 1	 4	 301563	 1	 MAFD_30111993
 280	 1	 4	 303266	 1	 MAFD_30111993
 280	 1	 4	 305438	 1	 MAFD_30111993
 297	 1	 4	 307141	 1	 MAFD_30111993
 389	 1	 4	 309266	 1	 MAFD_30111993
 280	 2	 4	 311563	 1	 MAFD_30111993
 282	 1	 4	 313968	 1	 MAFD_30111993
 250	 1	 4	 315828	 1	 MAFD_30111993
 329	 1	 4	 317655	 1	 MAFD_30111993
 -99	 2	 -99	 319796	 1	 MAFD_30111993
 296	 1	 4	 321734	 1	 MAFD_30111993
 283	 1	 4	 323655	 1	 MAFD_30111993
 345	 1	 4	 325280	 1	 MAFD_30111993
 345	 1	 4	 327296	 1	 MAFD_30111993
 375	 1	 4	 329625	 1	 MAFD_30111993
 -99	 2	 -99	 331280	 1	 MAFD_30111993
 312	 1	 4	 332359	 1	 MAFD_30111993
 312	 1	 4	 333813	 1	 MAFD_30111993
 345	 1	 4	 335468	 1	 MAFD_30111993
 375	 1	 4	 336468	 1	 MAFD_30111993
 375	 1	 4	 337780	 1	 MAFD_30111993
 -99	 2	 -99	 340030	 1	 MAFD_30111993
 283	 1	 4	 341780	 1	 MAFD_30111993
 328	 1	 4	 343218	 1	 MAFD_30111993
 437	 1	 4	 344234	 1	 MAFD_30111993
 342	 1	 4	 345313	 1	 MAFD_30111993
 360	 1	 4	 346703	 1	 MAFD_30111993
 389	 1	 4	 348141	 1	 MAFD_30111993
 375	 1	 4	 349766	 1	 MAFD_30111993
 280	 2	 4	 351391	 1	 MAFD_30111993
 264	 1	 4	 353391	 1	 MAFD_30111993
 298	 2	 4	 355155	 1	 MAFD_30111993
 313	 1	 4	 357500	 1	 MAFD_30111993
 297	 2	 4	 359046	 1	 MAFD_30111993
 359	 1	 4	 360641	 1	 MAFD_30111993
 329	 1	 4	 361671	 1	 MAFD_30111993
 297	 1	 4	 363266	 1	 MAFD_30111993
 -99	 2	 -99	 365030	 1	 MAFD_30111993
 328	 1	 4	 367093	 1	 MAFD_30111993
 280	 1	 4	 369375	 1	 MAFD_30111993
 327	 1	 4	 370391	 1	 MAFD_30111993
 327	 1	 4	 372391	 1	 MAFD_30111993
 328	 1	 4	 374218	 1	 MAFD_30111993
 -99	 2	 -99	 375343	 1	 MAFD_30111993
 265	 1	 4	 377578	 1	 MAFD_30111993
 280	 1	 4	 379016	 1	 MAFD_30111993
 344	 1	 4	 380734	 1	 MAFD_30111993
 296	 1	 4	 381859	 1	 MAFD_30111993
 298	 1	 4	 383968	 1	 MAFD_30111993
 -99	 2	 -99	 386063	 1	 MAFD_30111993
 329	 1	 4	 387171	 1	 MAFD_30111993
 266	 1	 4	 389155	 1	 MAFD_30111993
 280	 1	 4	 391141	 1	 MAFD_30111993
 267	 1	 4	 392671	 1	 MAFD_30111993
 375	 1	 4	 394171	 1	 MAFD_30111993
 -99	 2	 -99	 396203	 1	 MAFD_30111993
 375	 1	 4	 397359	 1	 MAFD_30111993
 250	 1	 4	 399234	 1	 MAFD_30111993
 265	 1	 4	 401078	 1	 MAFD_30111993
 266	 1	 4	 402859	 1	 MAFD_30111993
 375	 1	 4	 403921	 1	 MAFD_30111993
 406	 1	 4	 406328	 1	 MAFD_30111993
 328	 1	 4	 407938	 1	 MAFD_30111993
 -99	 2	 -99	 409671	 1	 MAFD_30111993
 280	 1	 4	 411125	 1	 MAFD_30111993
 280	 2	 4	 413141	 1	 MAFD_30111993
 250	 1	 4	 414328	 1	 MAFD_30111993
 267	 1	 4	 415546	 1	 MAFD_30111993
 391	 1	 4	 417718	 1	 MAFD_30111993
 265	 2	 4	 419688	 1	 MAFD_30111993
 265	 1	 4	 421828	 1	 MAFD_30111993
 298	 1	 4	 423968	 1	 MAFD_30111993
 345	 1	 4	 425655	 1	 MAFD_30111993
 297	 1	 4	 427141	 1	 MAFD_30111993
 375	 1	 4	 527296	 1	 MAFD_30111993
 -99	 2	 -99	 529155	 1	 MAFD_30111993
 298	 1	 4	 531468	 1	 MAFD_30111993
 296	 1	 4	 533859	 1	 MAFD_30111993
 313	 1	 4	 535905	 1	 MAFD_30111993
 -99	 2	 -99	 537828	 1	 MAFD_30111993
 282	 1	 4	 539859	 1	 MAFD_30111993
 361	 1	 4	 541655	 1	 MAFD_30111993
 375	 1	 4	 543813	 1	 MAFD_30111993
 343	 2	 4	 546016	 1	 MAFD_30111993
 266	 1	 4	 547484	 1	 MAFD_30111993
 280	 1	 4	 548563	 1	 MAFD_30111993
 297	 1	 4	 550141	 1	 MAFD_30111993
 313	 1	 4	 551828	 1	 MAFD_30111993
 280	 1	 4	 553563	 1	 MAFD_30111993
 -99	 2	 -99	 554516	 1	 MAFD_30111993
 280	 1	 4	 556313	 1	 MAFD_30111993
 282	 2	 4	 558218	 1	 MAFD_30111993
 266	 1	 4	 559859	 1	 MAFD_30111993
 281	 1	 4	 561578	 1	 MAFD_30111993
 343	 1	 4	 563500	 1	 MAFD_30111993
 -99	 2	 -99	 565843	 1	 MAFD_30111993
 328	 1	 4	 566938	 1	 MAFD_30111993
